title,keyword,abstract,field,authors,date,doi,references,id,type
Choice experiments in the valuation of urban ecosystem services,,"Cities are major contributors to climate change and biodiversity loss, and at the same time particularly affected by some of their consequences. Urban green can help address these challenges and provide numerous other benefits to people. Economic valuation can estimate the value that people assign to these diverse urban ecosystem services. The environmental economics literature uses several valuation methods. This work examines the valuation of urban ecosystem services with choice experiments. It includes five articles that use empirical analysis to address three overarching research goals: First, to improve understanding of the value of urban ecosystem services to urban residents. Second, to contribute to improving the validity of choice experiments. Third, to develop modeling of spatial patterns in the value of urban ecosystem services. Chapter 1 describes the background and motivation of the valuation of urban ecosystem services with choice experiments, gives an overview over the relevant literature, and sets out the research objectives and methods of this dissertation. Chapter 2 presents a choice experiment on green spaces, street trees and green roofs in Bremen. It analyzes the effect of additional information that these measures are part of a climate adaptation strategy. The results show greater willingness to pay among informed respondents. Part of the effect can be explained by a higher credibility of the survey. Chapter 3 describes a choice experiment on urban gardens in Berlin and Stuttgart. It explores how respondents process the information provided in the questionnaire. It finds that questions about the information do not significantly affect either recall or the responses in the choice experiment. Chapter 4 is based on choice experiments on street trees, green spaces, and greenways in four German cities. It examines how choice experiment surveys should elicit perceived consequentiality. The results show advantages of elicitation before the choice experiment over the usual elicitation afterwards. Chapter 5 explores how valid policy makers perceive the results of choice experiments on urban green in several German cities, and what consequences this has for their use of the results. Interviews show that most policy makers use the results in their city to raise awareness or justify positions. Perceptions of validity are mixed, but do not play a major role in this type of use. Chapter 6 examines the spatial distribution of the value of urban ecosystem services using choice experiments on green spaces, urban trees, green roofs, and green facades in Berlin and Leipzig. It develops and tests new choice models that may better represent than the common approach how the value of urban green space decreases with distance. Based on the findings of the articles, Chapter 7 derives recommendations for practitioners of choice experiments and for urban green policy makers. Finally, it identifies research gaps that would be promising for future studies.",,"Welling, Malte",2024,10.26127/BTUOpen-6651,,OPUS4-6651,Dissertation
Investigation of sensitivity of different logic and memory cells to Laser Fault Injections,,"Plenty of semiconductor devices are developed to operate with private data. To guarantee data privacy cryptographic algorithms are used, where the secrecy is based on the used keys. Theoretically, the cryptographic algorithms using keys with recommended lengths are secure. The issue is that a potential attacker can steal the devices and attack in a lab. Physical attacks are usually aimed to perturb normal operation of a device and to extract cryptographic keys, e.g. by means of fault injection (FI). One class of FI attacks exploits the sensitivity of semiconductor devices to light and are performed using a laser as the light source. This work investigates the sensitivity of different logic and memory cells to optical Fault Injection attacks. Front-side attacks against cells manufactured in different IHP technologies were performed using two different red lasers controlled by Riscure software. To reach the repeatability of the experimental results and to increase the comparability of the results with attack results published in literature the setup parameters as well as setting parameters of the Riscure software were experimentally evaluated. Attacks were performed against inverter, NAND, NOR, flip-flop cells from standard libraries, radiation-hard flip-flops based on Junction Isolated Common Gate technique, radiation-tolerant Triple Modular Redundancy registers as well as non-volatile Resistive Random Access Memory (RRAM) cells. The results of attacks against volatile circuits were successful transient bit-set and bit-reset as well permanent stuck-at faults. The results of attacks against RRAM cells were successful in the sense that manipulation of all RRAM logic states was feasible. The faults injected during the performed experiments were repeatable and reproducible. The goal of this work was not only to achieve successful FI but also to determine cell area(s) sensitive to laser illumination. Knowledge about areas sensitive to laser illumination can be used by designers to implement corresponding countermeasure(s) at the initial stage of chip development and is the necessary step to design appropriate countermeasures. For example, metal fillers can be applied as optical obstacles reducing the success of front-side FI attacks, i.e. as a possible low-cost countermeasure. Based on the knowledge of the sensitive cell areas, the placement of the metal fillers can be automated in the future, i.e. the findings given in the work can serve as a basis for a methodology development for improving resistance against optical FI attacks at the initial stage of chip development. Such methodology can be adapted for each chip manufacturing technology.",,"Petryk, Dmytro",2024,10.26127/BTUOpen-6664,,OPUS4-6664,Dissertation
Ein Beitrag zum Online-Monitoring von Teilentladungen in Betriebsmitteln des Höchstspannungsnetzes,,"Mit der zunehmenden Nutzung von Hochspannungs-Stromkabeln, insbesondere durch das Aufkommen langer HVDC(HGÜ)-Leitungen, entsteht die Notwendigkeit, ihren Zustand sensibel zu überwachen, etwa durch die Verfolgung der Entstehung und Entwicklung von Teilentladungen. Diese Studie zeigt, dass bestehende Lösungen schlecht auf den Fall von HVDC-Leitungen zugeschnitten sind und dass ein neues, ausgeklügelteres Überwachungssystem eine Vielzahl von unterschiedlichen Problemen angehen muss. Zunächst wird ein Überblick über die Aufgabe und die Hauptfunktionsblöcke des Überwachungssystems gegeben. Anschließend werden ausgewählte Blöcke in den folgenden Kapiteln detailliert untersucht. Der erste dieser Blöcke, ein Hochfrequenz-Stromtransformator, ist dafür verantwortlich, das Signal in der Stromleitung zu erfassen und an die Elektronik weiterzuleiten. Diese Komponente erhält eine ausführliche Behandlung: allgemeine Designüberlegungen, Berechnung der Streuinduktivität, Betrieb in Anwesenheit eines Leistungsstroms, Resonanzverhalten, ausgewogenes Design. Besonderes Augenmerk wird auf die Anwendung der Finite-Elemente-Analyse (FEA) in Bezug auf den Hochfrequenz-Stromtransformator (HFCT) gelegt. Die vorgestellten Techniken können jedoch auch auf andere magnetische Geräte angewendet werden. Der letzte Abschnitt des Kapitels präsentiert verschiedene Entwicklungsstufen, experimentelle Aufbauten, Prototypmodelle und das endgültige Gerät, das in Serienproduktion gegangen ist. Der nächste Block befasst sich mit dem Problem der Signalextraktion aus dem Rauschen. Es wird eine Literaturanalyse durchgeführt, die sich auf die Rauschunterdrückung in Teilentladungsdaten bezieht, und die Anwendung des Signalabtrennungsansatzes basierend auf der linearen prädiktiven Codierung wird gezeigt. Im Abschnitt über die Lokalisierung werden Beispiele für Probleme vorgestellt, die bei der Entwicklung eines Algorithmus zur Lokalisierung von Teilentladungen aufgetreten sind. In dem Kapitel, das den Labortests gewidmet ist, werden verschiedene Hilfsexperimente zusammengefasst, die während der Entwicklung des Systems durchgeführt wurden. Einige davon sind: TDR-basierte Leitungscharakterisierung, Schätzung der Überwachungsempfindlichkeit, Messung der Kabeldämpfung und der Reflexionskoeffizienten der Zubehörteile. Im abschließenden Kapitel - den Feldtests - wird die Installation des Systems auf einer 110-kV-Leitung und die gemessene Übertragungsfunktion vorgestellt.",,"Shevchenko, Iaroslav",2024,10.26127/BTUOpen-6629,,OPUS4-6629,Dissertation
Stochastic modeling of the turbulent boundary layer,,"The incompressible temporally developing turbulent boundary layer (TBL) and spatially developing turbulent boundary layer (SBL) with and without blowing is analyzed using the map-based stochastic one-dimensional turbulence (ODT) model. An understanding of these idealized flows is of fundamental relevance for boundary layer-type problems, which are frequently encountered in several applications, from atmospheric sciences to engineering. In the ODT model, the flow variables are resolved on all scales along a wall-normal, 1-D domain. These variables are evolved by a deterministic process representing molecular diffusion and by a stochastic process modeling the effect of turbulent advection and pressure fluctuations. Due to the reduction in dimensionality, the model is particularly appropriate for high Reynolds number flow. It is shown that the ODT model is able to capture salient features of the turbulent boundary layer-type flows by comparing the results with various available reference direct numerical simulation (DNS), large eddy simulation (LES) and experimental results. The comparison is presented for the mean velocity profiles, turbulent velocity fluctuation profiles (up to fourth order), the skin friction coefficient and shape factor for different bulk (Reb) and momentum Reynolds numbers (Re&#952;) using fixed model parameters. The influence of the model parameters is also discussed for various momentum Reynolds numbers for each investigated flow configuration. The results discussed in this thesis suggest that the ODT model is an economical and reasonably accurate approach for the simulation of turbulent boundary layer flows.",,"Rakhi,",2023,10.26127/BTUOpen-6416,,OPUS4-6416,Dissertation
Hydrogeological assessment for evaluating the feasibility of managed aquifer recharge in Northeastern Ghana,,"In the Garu-Tempane area and Tamne River basin of north-eastern Ghana, granitic aquifers supply nearly 80% of annually abstracted groundwater. Rapid and diffuse recharge enters the fractured and weathered Tamnean Plutonic Suite aquifers mainly granitoid, which are the dominant rock types in the study area. However, a greater challenge to the water supply in the area is posed by global climatic changes and overexploitation due to population growth. The semi-arid nature of the area together with the factors mentioned earlier has caused water scarcity, particularly in the dry season and these have affected the livelihoods of the farmers who depend mostly on the groundwater for irrigation and domestic purposes. A promising way to balance water resources in the region is using engineering technology such as managed aquifer recharge (MAR). MAR augments water levels in water-scarce areas and represents a key tool in water supply management. For this reason, a comprehensive hydrogeological characterization involving the hydrochemistry of the groundwater, groundwater recharge process and residence time using multi-environmental tracers, and a numerical groundwater flow model was developed. Based on the hydrochemistry results, the water quality index showed that the groundwater is very suitable for drinking. However, about 10.5 % out of the 38 groundwater samples had elevated nitrate concentrations exceeding the permissible WHO drinking water limit. These are mainly agricultural areas, which might have influenced the elevated nitrate concentrations. Groundwater age dating using sulphur hexafluoride (SF6) and chlorofluorocarbons (CFCs) was used to date shallow groundwater in Ghana for the first time. The results proved that the mean residence time of groundwater was around 30 years, an indication of young groundwater and rapid groundwater renewability. The findings also showed different groundwater ages implying diffused flow systems occurring in the fractured granitic aquifer. Investigation of the groundwater recharge using stable isotopes of deuterium and oxygen-18 revealed that the main source of groundwater recharge is of meteoric origin. There were little or no contributions from the stream and ponds as they were subjected to evaporative fractionation during the dry season. The White Volta River samples and samples from two big rivers were depleted in heavy isotopes, which suggested a hydraulic connection between them and the groundwater. The numerical groundwater flow model was used to assess the feasibility of MAR and determine the maximum recharge and abstraction rates. The results showed that the aquifer had enough storage to accommodate enough volumes of floodwater without causing groundwater mounding. This shows that MAR is feasible in augmenting the water levels in the area when irrigation and domestic withdrawals are regulated.",,"Okofo, Louis Boansi",2023,10.26127/BTUOpen-6244,,OPUS4-6244,Dissertation
Microbiome characterization after aerobic digestate reactivation of anaerobically digested sewage sludge,,"A demonstrator plant of a recently patented process for improved sludge degradation has been implemented on a municipal scale. In a 1500 m3 sewage sludge digester, an intermediary stage with aerobic sewage sludge reactivation was implemented. This oxic activation increased the biogas yield by up to 55% with a 25% reduction of the remaining fermentation residue volume. Furthermore, this process allowed an NH4-N removal of over 90%. Additionally, 16S rRNA gene amplicon high-throughput sequencing of the reactivated digestate showed a reduced number of methane-forming archaea compared to the main digester. Multiple ammonium-oxidizing bacteria were detected. This includes multiple genera belonging to the family Chitinophagaceae (the highest values reached 18.8% of the DNA sequences) as well as a small amount of the genus Candidatus nitrosoglobus (<0.3%). In summary, the process described here provides an economically viable method to eliminate nitrogen from sewage sludge while achieving higher biogas yields and fewer potential pathogens in the residuals.","Plant Science,Biochemistry, Genetics and Molecular Biology (miscellaneous),Food Science","Otto, Pascal; Alipoursarbani, Mozhdeh; Torrent, Daniel; Latorre-Pérez, Adriel; Paust, Thomas; Albert, Alfred; Abendroth, Christian",2023,10.3390/fermentation9050471,"10.1016/j.promfg.2019.06.051, 10.1002/ajim.4700090310, 10.1007/978-981-15-8999-7, 10.1016/j.chemosphere.2019.02.010, 10.1016/j.fbp.2021.04.001, 10.3389/fmicb.2021.784071, 10.3390/bioengineering3020015, 10.1016/j.scitotenv.2021.145375, 10.1016/j.rser.2016.11.187, 10.2174/1876400201104010001, 10.1016/j.renene.2021.08.120, 10.3390/ma13184012, 10.3389/fmicb.2021.688290, 10.1186/s13068-021-02034-5, 10.1038/s41598-020-73913-4, 10.1038/s41587-019-0209-9, 10.1093/nar/gks1219, 10.1371/journal.pone.0061217, 10.1186/s13059-014-0550-8, 10.1128/AEM.00330-11, 10.1038/s41598-020-61092-1, 10.1007/s11356-021-13570-w, 10.1111/1574-6941.12148, 10.1134/S1064229322030073, 10.3934/microbiol.2020002, 10.1016/j.biortech.2022.128254, 10.1016/j.envpol.2019.112965, 10.1016/j.scitotenv.2019.04.304, 10.1099/ijs.0.63346-0, 10.1007/s12223-013-0299-6, 10.1038/s41392-022-01056-1, 10.3390/foods10071673, 10.1080/01652176.2017.1323355, 10.1007/s10096-013-1914-9, 10.3390/pr10020389, 10.1080/21655979.2021.2017624, 10.1038/ismej.2017.173, 10.1080/00380768.2021.1981119, 10.1016/j.watres.2009.01.016, 10.1016/j.cbpa.2018.09.003, 10.1016/j.wroa.2022.100131, 10.1007/s11783-018-1035-x, 10.1016/j.soilbio.2018.03.020, 10.1016/S0038-0717(01)00096-7, 10.1016/j.watres.2011.11.080, 10.1080/10409230390267446, 10.1016/j.tim.2016.05.004, 10.1016/j.watres.2014.06.042, 10.1016/j.jclepro.2016.08.011, ",OPUS4-6420,Wissenschaftlicher Artikel
Forced displacement urbanisms : territorial biographies and contemporary narratives in the Syrian refugee camps in the Kurdistan region of Iraq,,"Violent chronic conflicts, uprooting, and the continuous massive (re)generation of displacement waves constitute the main elements of the Kurds' history within nation-states' (changing) geographies. Today, Kurdish-inhabited territories represent palimpsests of involuntary dislocations and relocation stories, constantly (re)written by refuge-seeking/ granting (spatial) practices. Since 2011, contemporary uprisings and wars in Syria and Iraq have inscribed the Kurdistan Region of Iraq (KR-I) territories with a new layer of displacement stories. These territories acted as frontline receptors for consecutive Syrian refugees and Iraqi internally displaced waves seeking protection. Displacees found refuge in the rural, urban and newly set humanitarian camps' spaces; hence, they (temporarily) anchored and carved some sort of a presence within their receiving sites. The rationale behind such receiving sites' emergence, use and progression in the KR-I have historically oscillated between modernization, discipline, development and humanitarianism. Guided by the urbanism lens, this research aims to narrate the KR-I's forced displacement territorial biography of involuntary dislocated and (re)located Kurds. This narration chronologically traces these groups' newly (re)shaped receiving sites and how refuge-seeking/granting practices aggregated and (re) articulated the KR-I's territories. It investigates the ways in which these receiving sites act as seeds of emerging urbanities in such a politically contested region. On the one hand, the research zooms out and repositions these sites' emergence and spatial progression within a broader geopolitical context, socioeconomic conditionalities, uses and meaning subversions due to the ever-changing actors. On the other hand, it zooms closely into the newly set Syrian-Kurdish refugee camps in the KR-I within and beyond predefined (nation-state) belongings in their ever-distorted time-space frames. It securitizes on the ways in which these sites are conceived and inhabited to (re)claim rights ""to"" and ""in"" space, territory, history and future. Between the large and small pictures, the research investigates the human and the non-human spatial agency that (re)patches these ruptured Kurds' collective memories and contemporary narratives of where, when, what and with whom (a future) home rests. This study is an urgent call for the international and local constellation of actors to critically rethink their standardized ready-made solutions and piece-meal spatial interventions in geographies associated with chronic crisis, ever (re)branded under emergency, development and peace 'help' banners. It sets the basis for rearticulating and developing further research-based interventions that account for exhausted conflict-ridden (infra)structures, political sensitivities, socio-economic situations and environmental impacts.",,"Zibar, Layla",2023,10.26127/BTUOpen-6297,,OPUS4-6297,Dissertation
A methodological framework for future flood risk assessment in ungauged and data-scarce coastal river catchments in Southeast Asia,,"Ungauged and data-scarce coastal river catchments, small and medium-sized ones in particular, are popular worldwide, especially in developing countries in Southeast Asia. In general, coastal river catchments are exposed to various coastal hazards such as fluvial floods, typhoons, and sea-level rise. In addition, climate change and socio-economic development will substantially change global flood risks. However, in scientific research, flood risk and future flood risk assessments in such coastal river catchments have not been significantly considered. Therefore, the overall objective of this thesis is to propose an innovative methodological framework for modeling and evaluating flood risk in such river catchments in the future under the impacts of climate change, sea-level rise, and land-use change based on using numerical models (hydrological models and land-use change models) and remote sensing data (satellite images and precipitation) in combination with other state-of-the-art methods, tools and models, and new approaches, such as flood risk assessment methods, regionalization methods, and statistical downscaling methods. The proposed framework was adopted, applied, and validated successfully for a case study - Tra Bong River Catchment - on the south-central coast of Vietnam as a test application. The main conclusion of this research is that the proposed framework can provide valuable information and projections of changing future flood risk associated with climatic and socio-economic changes in ungauged and data-scarce coastal river catchments. The proposed framework is designed with free model and method choices, meaning that it can apply different methods and tools for each step depending on the natural characteristics of river catchments, data collection, tools, and understanding of models, etc. Finally, this research can be used as a technical reference for designing and building national, regional, or local frameworks/guidelines for assessing future flood risk in ungauged and data-scarce coastal river catchments in Vietnam and other countries in Southeast Asia.",,"Trinh, Xuan Manh",2023,10.26127/BTUOpen-6441,,OPUS4-6441,Dissertation
Role of community in managing cultural heritage tourism in historical quarters of Delhi : case studies of Nizamudinn Basti and Shahjahanabad,,"This doctoral research examines community participation in decision-making for Cultural Heritage Tourism (CHT) in Nizamuddin Basti and Shahjahanabad, historical sites in New Delhi, India. It includes three papers addressing community participation barriers, resident motivation, and collective action dilemmas using the Institutional Analysis and Development-Network of Adjacent Action Situations (IAD-NAAS) framework. The study identifies four main barriers: institutional constraints, limited awareness, capacity issues, and cultural norms inhibiting residents' involvement in CHT decision-making. Despite these obstacles, the community's deep attachment to the area's heritage, appreciation of tangible and intangible heritage, and recognition of communal benefits motivate participation. Using the IAD-NAAS framework, the research unravels collective action dilemmas, emphasizing how individual actions in one context can impact actions in adjacent contexts. Key action situations are monument conservation, local community livelihood development, tourism development, and community decision-making participation. Through in-depth interviews, the study garners a rich understanding of barriers and motivations for community participation. It highlights the role of community involvement in creating inclusive, diverse heritage narratives, challenging the conventional discourses dominating heritage narratives. Thus, fostering a democratic and inclusive approach to heritage.",,"Chauhan, Ekta",2023,10.26127/BTUOpen-6399,,OPUS4-6399,Dissertation
"22nd EEEIC International Conference on Environment and Electrical Engineering - Student Edition : Wroc&#322;aw - Ostrava - Cottbus, June 2023",,"In the time of increased awareness about the environment problems by the public opinion and also intensive international efforts to reduce emissions of greenhouse gases, as well increase of the generation of electrical energy to facilitate industrial growth, the conference offers broad contribution towards achieving the goals of diversification and sustainable development. Focus of the student conference is to promote the discussion of views from scientists and students from Wroclaw University of Technology, Technical University of Ostrava and Brandenburg University of Technology Cottbus-Senftenberg. The conference is a unique teaching session motivating the students to write science related papers, prepare presentations and discus future developments. It is a formal part of the curriculum offered as an elective module, accompanied by a technical excursion.",,,2023,10.26127/BTUOpen-6473,,OPUS4-6473,Konferenzveröffentlichung
