title,keyword,abstract,field,authors,date,doi,references
"Services numériques interactifs ""créatifs"" et expérience urbaine : construction d'une méthode mixte ad hoc pour comprendre et évaluer les services créatifs de la ville,Creative interactive digital services and urban experience : building a mixed ad hoc method for understanding and evaluating creative city services","User experience,Creative digital services,Urban communication,Expérience-usager,Services numériques créatifs,Communication urbaine",,,Mei Menassel,2024,,
An LSTM-Based Network Slicing Classification Future Predictive Framework for Optimized Resource Allocation in C-V2X,"Cellular vehicles to everything C-V2X,Deep learning,Latency,Long short term memory LSTM,Machine learning,Network slicing,Optimization,Reliability",,"General Engineering,General Materials Science,General Computer Science,Electrical and Electronic Engineering","Mohammed Salah Abood,Hua Wang,Dongxuan He,Maha Fathy,Sami Abduljabbar Rashid,Mohammad Alibakhshikenari,Bal Virdee,Salahuddin Khan,Giovanni Pau,Iyad Dayoub,Patrizia Livreri,Taha Elwi",2024,10.1109/ACCESS.2023.3332225,"10.1109/VTCSpring.2019.8746562, 10.3390/jsan9010003, 10.37965/jait.2023.0208, 10.1007/978-981-33-4597-3_10, 10.1109/MWC.001.1900219, 10.1109/ACCESS.2021.3094161, 10.1109/MCOM.001.2000458, 10.1109/GLOCOMW.2016.7848825, 10.1109/JIOT.2022.3159591, 10.1016/j.csi.2021.103518, 10.1109/ICTON.2019.8840141, 10.1109/GLOCOM.2017.8254074, 10.1109/MCOM.2017.1600936, 10.1186/s13638-021-01983-7, 10.3390/electronics10091090, 10.23919/ITU-WT.2018.8597639, 10.1016/j.comcom.2019.10.018, 10.1109/TITS.2022.3178267, 10.1016/j.vehcom.2021.100403, 10.1007/978-3-030-76493-7_5, 10.1109/LCOMM.2020.2982887, 10.1109/VTC2020-Spring48590.2020.9129490, 10.1109/JSEN.2020.2965590, 10.1109/UEMCON47517.2019.8993066, "
Comparative study of electrical investigation for temperature measurement in AlGaN/GaN HEMT,,,"Electrical and Electronic Engineering,Modeling and Simulation,Atomic and Molecular Physics, and Optics,Electronic, Optical and Magnetic Materials","Fahmida Sharmin Jui,Sabrina Alam,Anwar Jarndal,Christophe Gaquiere,Mohammad Alim",2024,10.1007/s10825-023-02121-w,"10.1007/s10825-021-01806-4, 10.1002/pssa.201431897, 10.1007/s10825-021-01809-1, 10.1109/55.661174, 10.1007/s10825-012-0395-x, 10.1016/j.sse.2009.09.026, 10.1016/j.microrel.2010.09.025, 10.1016/j.mejo.2008.01.043, 10.1109/TED.2002.801430, 10.1109/TED.2013.2284851, 10.1109/TED.2009.2032614, 10.1109/55.974795, 10.1002/jnm.2599, 10.1016/j.mee.2021.111595, 10.1109/TED.2020.3013509, 10.1088/0268-1242/30/12/125005, 10.1109/TDMR.2008.918960, 10.1109/LED.2016.2641740, 10.1007/s10825-012-0385-z, 10.1109/TMTT.2016.2604815, 10.1109/TED.2007.913005, 10.1007/s10973-022-11371-y, 10.1002/pssa.201600845, 10.1007/s11664-021-08747-5, 10.1007/s12633-015-9337-0, 10.1088/0268-1242/31/6/065005, 10.1007/s10825-020-01561-y, 10.1002/jnm.2648, 10.1109/TED.2015.2510610, 10.1109/TED.2015.2396035, "
Catch and release strategy of matrix metalloprotease aptamers via thiol–disulfide exchange reaction on a graphene based electrochemical sensor,,,,"Vladyslav Mishyn,Merve Aslan,Adrien Hugo,Teresa Rodrigues,Henri Happy,Rana Sanyal,Wolfgang Knoll,Florence Baudoux,Vincent Bouchiat,Rostyslav Bilyy,Rabah Boukherroub,Amitav Sanyal,Sabine Szunerits",2024,10.1039/d2sd00070a,"10.1021/acssensors.1c01172, 10.1039/D0AN01661F, 10.1039/D1SD00036E, 10.3390/molecules26113332, 10.1021/acsami.8b00802, 10.1021/ac202350c, 10.1021/acs.bioconjchem.0c00108, 10.1002/chem.201803174, 10.1021/cm402180t, 10.1021/acsami.6b02364, 10.1039/D0PY01215G, 10.3390/s120100612, 10.1021/ja108127r, 10.1039/D0AN00251H, 10.1021/acsami.7b07684, 10.1089/wound.2014.0581, 10.12968/jowc.2016.25.5.277, 10.12968/jowc.2020.29.2.102, 10.1046/j.1524-475X.2002.10903.x, 10.1111/j.1365-2133.1996.tb03607.x, 10.1111/1523-1747.ep12398424, 10.1111/wrr.12431, 10.1021/acssensors.8b00320, 10.1021/acssensors.0c00058, 10.1021/acs.analchem.7b02210, 10.1016/j.bios.2018.05.020, 10.1039/D1NH00355K, 10.1186/1556-276X-9-10, 10.1016/j.aca.2015.07.009, 10.1021/acs.analchem.5b04867, 10.1016/j.snb.2020.128789, 10.3390/ph12020079, 10.12968/jowc.2017.26.7.381, 10.3389/fimmu.2019.01278, 10.1002/pola.28882, 10.1021/ma061420x, "
Metamaterial-based barriers for railway-generated ground borne vibration,,,,"F. Nistri,R.M. Cosentini,V.F. Dal Poggetto,P. Charkaluk,N. Pugno,M. Miniaci,A. Gliozzi,F. Bosia",2024,,
[Invited] Design of Metamaterials for Acoustic Stealth Using Optimization Tools,,,,"Laetitia Roux,Charles Croenne,Monique Pouille,C. Audoly,Anne-Christine Hladky",2024,,
"Development and test of a new plantar pressure control device for foot unloading,Élaboration et validation d’un nouveau dispositif de surveillance des pressions plantaires : application à la décharge du pied","Marche,Pressions plantaires,Controle moteur,Decharge du pied,Biofeedback,Plantar pressure,Motor control,Foot unloading,Augmented sensory feedback,Marche,Pressions plantaires,Contrôle moteur,Décharge du pied,Biofeedbacks Gait,Plantar pressure,Motor control,Foot unloading,Augmented sensory feedback",,"Rehabilitation,Orthopedics and Sports Medicine,General Medicine","Virginie Femery,Francois J Potdevin,A. Thevenon,Pierre Moretto",2024,10.1016/j.annrmp.2008.01.007,"10.1053/apmr.2001.21931, 10.1016/0167-9457(88)90005-X, 10.1016/j.apmr.2003.11.031, 10.1093/ptj/81.4.995, 10.1002/jor.1100040213, 10.2337/diacare.18.10.1383, 10.1016/S0268-0033(99)00076-5, 10.1016/S0021-9290(00)00082-8, 10.1016/S0966-6362(01)00176-X, 10.1016/S0003-9993(97)90199-4, 10.1682/JRRD.1992.01.0013, 10.1682/JRRD.2004.07.0076, 10.1016/j.jbiomech.2006.03.005, "
Optimization of laser manufacturing conditions to improve oil retention of slippery liquid-infused surfaces Réseau OPAL,,,,"Manon Saget,Flavie Braud,S.J Zapiain Merino,S. Zouaghi,Luisa Azevedo-Scudeller,Guillaume Delaplace,Vincent Thomy,Yannick Coffinier,Maude Jimenez",2024,,
Structuration du carbone vitreux : de superhydrophile à superhydrophobe,,,,"C. Francolle de Almeida,F. Bellaredj,F. Sarry,D. Beyssen,Yannick Coffinier,Maude Jimenez,V. Fierro,A Celzard",2024,,
Exploratory study of an inclusive digital twin for the clothing industry of the future,"Digital Twins,Inclusive manufacturing,Clothing industry",,,"Sébastien Thomassey,Frédéric Vanderhaegen,Frédéric Merienne",2024,,
