title,keyword,abstract,field,authors,date,doi,references,id,type
Ordre public de la limitation dans le temps de la garantie du cédant du bail,"Bail commercial,Cession de bail commercial",,,Nicolas Leblond,2024,,,4511983,ART
Assouplissement des règles de constitution et de réalisation de la fiducie-sûreté,Fiducie,,,Nicolas Leblond,2024,,,4511491,ART
Le « cautionnement hypothécaire » est en dehors de la procédure collective du constituant,"Cautionnement réel,Hypothèque",,,Nicolas Leblond,2024,,,4511610,ART
Advances in Historical Studies [Editor in Chief 10/2],,,,Raffaele Pisano,2024,,,4510953,OTHER
Thomas Stefanello (dans Bilan plasma Post_Production 2021),,,,Stefania Caliandro,2024,,,4278893,OTHER
Thomas Stefanello,,"Présentation d'oeuvre pour l’exposition ""Bilan Plasma – Post_Production 2021",,Stefania Caliandro,2024,,,4450437,OTHER
Paroles en hommage à Paolo Fabbri,,,,Stefania Caliandro,2024,,,4450438,OTHER
Le seuil de l’affect,,,,Stefania Caliandro,2024,,,4450453,COUV
Point de départ des intérêts moratoires du loyer du bail renouvelé,"Bail commercial,Renouvellement du bail commercial,Intérêts moratoires",,,Nicolas Leblond,2024,,,4512143,ART
Design and characterization of a millimeter-long travelling wave THz photomixer,"Thz,Photomixer,Travelling Wave devices",,,"Fuanki Bavedila,Charbel Tannoury,Vincent Magnin,Sylvie Lepilliet,Vanessa Avramovic,David Troadec,Joseph Harari,Dmitri Yarekha,Jean-Francois Lampin,Guillaume Ducournau,Emilien Peytavit",2024,,,4444318,COMM
Du caractère non abusif de certaines clauses de contrats d'assurance emprunteur,"Assurance emprunteur,Clauses abusives",,,Nicolas Leblond,2024,,,4511970,ART
Premières précisions sur le droit de préemption du preneur commercial,"Bail commercial,Droit de préemption",,,Nicolas Leblond,2024,,,4512034,ART
