title,keyword,abstract,field,authors,date,doi,references
An LSTM-Based Network Slicing Classification Future Predictive Framework for Optimized Resource Allocation in C-V2X,"Cellular vehicles to everything C-V2X,Deep learning,Latency,Long short term memory LSTM,Machine learning,Network slicing,Optimization,Reliability",,"General Engineering,General Materials Science,General Computer Science,Electrical and Electronic Engineering","Mohammed Salah Abood,Hua Wang,Dongxuan He,Maha Fathy,Sami Abduljabbar Rashid,Mohammad Alibakhshikenari,Bal Virdee,Salahuddin Khan,Giovanni Pau,Iyad Dayoub,Patrizia Livreri,Taha Elwi",2024,10.1109/ACCESS.2023.3332225,"10.1109/VTCSpring.2019.8746562, 10.3390/jsan9010003, 10.37965/jait.2023.0208, 10.1007/978-981-33-4597-3_10, 10.1109/MWC.001.1900219, 10.1109/ACCESS.2021.3094161, 10.1109/MCOM.001.2000458, 10.1109/GLOCOMW.2016.7848825, 10.1109/JIOT.2022.3159591, 10.1016/j.csi.2021.103518, 10.1109/ICTON.2019.8840141, 10.1109/GLOCOM.2017.8254074, 10.1109/MCOM.2017.1600936, 10.1186/s13638-021-01983-7, 10.3390/electronics10091090, 10.23919/ITU-WT.2018.8597639, 10.1016/j.comcom.2019.10.018, 10.1109/TITS.2022.3178267, 10.1016/j.vehcom.2021.100403, 10.1007/978-3-030-76493-7_5, 10.1109/LCOMM.2020.2982887, 10.1109/VTC2020-Spring48590.2020.9129490, 10.1109/JSEN.2020.2965590, 10.1109/UEMCON47517.2019.8993066, "
[Invited] Design of Metamaterials for Acoustic Stealth Using Optimization Tools,,,,"Laetitia Roux,Charles Croenne,Monique Pouille,C. Audoly,Anne-Christine Hladky",2024,,
Exploratory study of an inclusive digital twin for the clothing industry of the future,"Digital Twins,Inclusive manufacturing,Clothing industry",,,"Sébastien Thomassey,Frédéric Vanderhaegen,Frédéric Merienne",2024,,
Soft microelectromechanical systems and artificial muscles based on electronically conducting polymers,,,,"Katlin Rohtlaid,Giao T. M. Nguyen,Caroline Soyer,John Dw Madden,Eric Cattan,Frederic Vidal,Cedric Plesse",2024,,
Topological elastic interface states in hyperuniform pillared metabeams,,,"General Engineering,General Materials Science","Runcheng Cai,Yan Pennec,Laurent Carpentier,Yabin Jin,Timon Rabczuk,Xiaoying Zhuang,Bahram Djafari-Rouhani",2024,10.1063/5.0184699,"10.1016/s1369-7021(09)70315-3, 10.1007/s11433-021-1787-x, 10.1515/nanoph-2018-0227, 10.1038/natrevmats.2016.1, 10.1126/sciadv.1501595, 10.1038/s41467-018-07990-5, 10.1038/s41578-022-00465-6, 10.1038/nphys3228, 10.1038/ncomms9682, 10.1103/physrevapplied.16.044008, 10.1103/physrevapplied.14.054028, 10.1016/j.ijmecsci.2019.05.020, 10.1016/j.eml.2020.100777, 10.1103/physrevapplied.15.014025, 10.1103/physrevlett.122.014301, 10.1103/physrevb.101.024101, 10.1103/physrevlett.42.1698, 10.1088/1402-4896/ac4ed2, 10.1103/physrevb.102.134303, 10.1103/physrevapplied.14.054035, 10.1103/physrevb.97.155422, 10.1038/nphys4323, 10.1016/j.jsv.2023.117710, 10.1103/physrevapplied.18.014067, 10.1016/j.ymssp.2021.108774, 10.1063/5.0097530, 10.1063/5.0152606, 10.1080/23746149.2022.2109431, 10.1103/physreve.68.041113, 10.1088/1742-5468/2009/12/p12015, 10.1103/physrevx.5.021020, 10.1016/j.physrep.2018.03.001, 10.1088/1361-6463/ac006d, 10.1063/1.2961314, 10.1103/physrevapplied.11.054076, 10.1063/5.0097894, 10.1103/physrevlett.125.127402, 10.1103/physrevlett.117.053902, 10.1103/physrevb.95.094120, 10.1073/pnas.1307879110, 10.1103/physrevb.91.020201, 10.1063/1.5117265, 10.1093/nsr/nwab133, 10.1063/1.5055295, 10.1038/s41567-017-0024-5, 10.1063/5.0059928, 10.1103/physreve.70.046122, 10.1103/physrevx.4.021017, "
Phonon-Plasmon coupling in pillared phononic crystals mediated by surface acoustic waves,,,,"A. Noual,Rock Akiki,Gaëtan Lévêque,Yan Pennec,El Houssaine El Boudouti,Bahram Djafari-Rouhani",2024,,
Panorama des initiatives nationales de régulation de l’IA,"AI,Legal framework,Ethics,National initiatives,Government strategies,IA,Encadrement juridique,Éthique,Initiatives nationales,Stratégies gouvernementales",,,Emma Miquel,2024,,
Expertise reversal for different forms of instructional designs in dynamic visual representations,,,Education,"Aïmen Khacharem,Bachir Zoudji,Slava Kalyuga",2024,10.1111/bjet.12167,"10.1007/BF03173563, 10.1007/s10648-011-9174-7, 10.1007/s11423-012-9276-z, 10.1207/s1532690xci2104_1, 10.1007/s11251-009-9108-7, 10.1016/j.chb.2010.07.042, 10.1016/j.lindif.2010.03.001, 10.1017/CBO9780511816819.022, 10.1007/s10648‐007‐9054‐3, 10.1016/j.chb.2007.02.018, 10.1037/0022-0663.92.1.126, 10.1207/S15326985EP3801_4, 10.1080/10413200.2012.718312, 10.1123/jsep.35.3.260, 10.1080/10413200.2012.735342, 10.1037/0022-0663.98.4.902, 10.1016/j.psychsport.2012.11.004, 10.1017/CBO9780511816819.012, 10.1207/S15326985EP3801_6, 10.1007/s10648‐005‐3951‐0, 10.1037/h0043158, 10.1080/01443410.2013.785050, 10.1002/acp.1349, 10.1016/j.compedu.2008.11.014, 10.1037/h0049234, 10.1007/s12528-009-9011-x, 10.1016/j.learninstruc.2004.06.005, 10.1007/s10648-010-9135-6, 10.1016/j.chb.2010.05.011, 10.1023/B:TRUC.0000021808.72598.4d, 10.1023/A:1022193728205, 10.1007/978-1-4419-8126-4, 10.1016/j.compedu.2009.10.013, "
Elastic wave propagation along a 1D chain of pillars,,,,"Rock Akiki,Laurent Carpentier,Adnane Noual,Bernard Bonello,Bahram Djafari-Rouhani,Yan Pennec",2024,,
Surface acoustic wave confinement inside uncorrelated distributions of subwavelength scatterers,,,General Physics and Astronomy,"Thibault Deletang,Adnane Noual,Bernard Bonello,Roman Buisine,Yan Pennec,Bahram Djafari-Rouhani",2024,10.1063/5.0173970,"10.1038/s41578-020-00263-y, 10.1021/nl204118h, 10.1038/ncomms1758, 10.1103/PhysRevB.73.033108, 10.1126/science.1220600, 10.1063/1.4901997, 10.1364/OPTICA.3.000763, 10.1103/PhysRevE.102.053001, 10.1126/science.1125907, 10.1103/PhysRevLett.101.134501, 10.1038/nphys3867, 10.1038/s41566-017-0006-2, 10.1103/PhysRev.109.1492, 10.1063/1.3206091, 10.1103/PhysRevLett.53.2169, 10.1038/nphys1101, 10.1103/PhysRevLett.74.4193, 10.1364/OL.36.000127, 10.1103/PhysRevLett.111.053901, 10.1038/nphoton.2013.29, 10.1038/nmat3966, 10.1038/nphys4036, 10.1103/PhysRevA.99.013835, 10.1039/D0NR06334G, 10.1103/PhysRevB.105.064204, 10.1103/PhysRevLett.94.205503, 10.1063/1.4826535, 10.1103/PhysRevB.80.041102, 10.1103/PhysRevLett.113.233901, 10.1063/1.5082619, 10.1063/1.5097461, 10.1063/1.4801890, 10.1209/0295-5075/101/67002, 10.1103/PhysRevApplied.13.024077, 10.1016/j.ultras.2014.06.005, 10.1126/science.271.5249.634, "
